,Ticker,Market Cap (B),Enterprise Value (B),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue,Enterprise Value/EBITDA,Beta (5Y Monthly),52 Week Change (%),S&P500 52-Week Change (%),52 Week High ,52 Week Low ,50-Day Moving Average ,200-Day Moving Average ,Avg Vol 3 month (M),Avg Vol 10 day (M),Shares Outstanding (M),Implied Shares Outstanding (M),Float,% Held by Insiders ,% Held by Institutions ,Shares Short (M),Short Ratio  ,Short % of Float  ,Short % of Shares Outstanding  ,Shares Short Prior Month (M),Forward Annual Dividend Rate ,Forward Annual Dividend Yield (%),Trailing Annual Dividend Rate ,Trailing Annual Dividend Yield ,5 Year Average Dividend Yield ,Payout Ratio (%),Last Split Factor (x:1),Profit Margin (%),Operating Margin (ttm) (%),Return on Assets (ttm) (%),Return on Equity (ttm) (%),Revenue (ttm) (B),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy) (%),Gross Profit (ttm) (B),EBITDA (B),Net Income Avi to Common (ttm) (B),Diluted EPS (ttm),Quarterly Earnings Growth (yoy) (%),Total Cash (mrq) (B),Total Debt (mrq) (B),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm) (B),Levered Free Cash Flow (ttm) (B),Dividend Date ,Ex-Dividend Date ,Last Split Date ,Fiscal Year Ends,Most Recent Quarter (mrq)
0,TSLA,395.82,380.59,38.77,24.69,1.1,5.78,9.93,5.08,23.48,1.91,-66.0,-20.0,402.67,121.02,189.76,255.88,0.09,0.14,3.16,0.0,2.69,16.0,45.0,0.08,0.88,3.0,2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,17.0,12.0,32.0,74.86,24.15,56.0,13.61,16.01,11.19,3.23,104.0,21.11,6.68,5.87,14.28,1.46,12.62,16.03,6.55,,,2022-08-24,2021-12-30,2022-09-29
1,TTD,22.81,21.75,0.0,40.16,2.33,15.39,11.91,14.67,572.96,1.74,-54.0,-20.0,98.6,39.0,50.15,55.24,0.01,0.0,0.45,0.0,0.44,1.0,77.0,0.01,2.43,4.0,3.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,-0.0,-1.0,1.48,3.06,31.0,0.97,0.03,-0.01,0.08,-73.0,1.32,2.7,0.27,13.94,1.91,3.91,0.54,0.54,,,2021-06-16,2021-12-30,2022-09-29
2,NVDA,405.92,404.53,70.22,38.31,3.92,14.58,19.01,14.16,54.34,1.75,-50.0,-20.0,313.3,108.13,150.5,172.23,0.05,0.05,2.49,0.0,2.36,4.0,66.0,0.03,0.69,1.0,1.0,0.03,0.16,0.0,0.16,0.0,0.2,7.0,4.0,21.0,26.0,11.0,26.0,28.57,11.44,-16.0,17.48,8.72,5.96,3.73,-72.0,13.14,5.34,11.9,55.76,3.39,8.65,6.43,5.15,2022-12-21,2022-11-29,2021-07-19,2022-01-29,2022-10-29
3,GOOG,1140.0,1050.0,17.55,16.5,1.24,4.16,4.5,3.73,11.17,1.06,-40.0,-20.0,152.1,83.45,95.4,111.16,0.03,0.03,6.09,0.0,11.26,0.0,63.0,0.03,1.04,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0,28.0,14.0,27.0,282.11,21.45,6.0,146.7,93.73,66.99,4.92,-26.0,116.26,8.98,29.34,11.57,2.52,19.55,92.81,48.26,,,2022-07-17,2021-12-30,2022-09-29
4,CRWD,25.16,23.46,0.0,51.02,1.25,12.23,19.15,11.53,-711.89,1.06,-50.0,-20.0,242.0,100.96,135.4,171.92,0.0,0.0,0.22,0.0,0.22,1.0,76.0,0.01,1.15,3.0,3.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,-7.0,-2.0,-15.0,2.03,8.78,53.0,1.07,-0.08,-0.18,-0.79,0.0,2.47,10.52,0.77,57.49,1.76,5.61,0.83,0.66,,,,2022-01-30,2022-10-30
5,AMZN,854.8,924.39,76.14,41.32,4.66,1.7,6.22,1.84,18.23,1.19,-51.0,-20.0,172.94,82.25,97.47,120.96,0.08,0.08,10.2,0.0,9.19,10.0,60.0,0.07,0.7,1.0,1.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,3.0,2.0,9.0,502.19,49.35,15.0,197.48,51.55,11.32,1.08,-9.0,58.66,5.75,164.33,119.53,0.94,13.48,39.67,-12.69,,,2022-06-05,2021-12-30,2022-09-29
6,IDXX,34.2,35.61,52.54,48.31,6.92,10.53,71.85,10.66,36.21,1.18,-37.0,-20.0,664.7,317.06,394.56,398.55,0.0,0.0,0.08,0.0,0.08,0.0,92.0,0.0,4.05,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,26.0,22.0,109.0,3.34,39.71,4.0,1.89,0.98,0.67,7.93,3.0,0.1,1.2,1.51,316.41,0.89,5.74,0.58,0.37,,,2015-06-15,2021-12-30,2022-09-29
7,MELI,45.27,47.25,167.93,64.1,0.91,4.75,27.76,4.89,44.52,1.52,-33.0,-20.0,1365.97,600.68,893.96,893.96,0.0,0.0,0.05,0.0,0.05,8.0,85.0,0.0,1.45,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,5.0,31.0,9.67,192.32,45.0,3.57,1.07,0.27,5.51,36.0,2.38,47.42,5.28,323.85,1.34,32.43,2.1,-1.27,2018-01-15,2017-12-27,,2021-12-30,2022-09-29
8,ABNB,53.74,46.47,35.22,27.7,0.0,7.08,9.7,5.79,25.29,0.93,-51.0,-20.0,191.73,82.58,101.27,118.41,0.01,0.01,0.4,0.0,0.38,1.0,64.0,0.02,2.47,5.0,3.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,7.0,33.0,8.03,12.64,29.0,4.84,1.68,1.63,2.35,46.0,9.63,15.2,2.36,42.62,1.86,8.75,3.23,2.53,,,,2021-12-30,2022-09-29
9,ZS,16.26,15.66,0.0,90.91,1.94,13.16,37.71,12.88,-59.07,0.82,-67.0,-20.0,332.5,106.25,133.56,165.01,0.0,0.0,0.14,0.0,0.09,40.0,50.0,0.01,2.62,7.0,4.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,-26.0,-8.0,-76.0,1.22,8.57,54.0,0.85,-0.29,-0.37,-2.67,0.0,1.82,12.65,1.22,282.71,2.01,2.99,0.36,0.5,,,,2022-07-30,2022-10-30
10,ASML,223.94,224.09,37.67,27.32,1.53,10.64,26.52,11.36,32.28,1.2,-31.0,-20.0,817.3,363.15,535.99,537.35,0.0,0.0,0.4,0.0,0.4,0.0,20.0,0.0,0.99,0.0,0.0,0.0,6.63,1.0,5.07,1.0,0.83,50.0,0.89,28.0,31.0,13.0,57.0,19.73,49.22,10.0,9.81,6.71,5.58,14.83,-2.0,3.36,8.49,3.5,44.04,1.26,20.08,9.55,4.66,2022-11-13,2022-11-02,2007-09-30,2021-12-30,2022-10-01
11,SE,28.66,26.72,0.0,0.0,0.0,2.32,5.85,2.19,-11.6,1.56,-77.0,-20.0,231.21,40.67,53.38,73.45,0.01,0.01,0.56,0.0,0.32,14.0,80.0,0.03,3.32,0.0,5.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.0,-17.0,-7.0,-42.0,12.22,21.96,17.0,3.9,-1.79,-2.7,-4.06,0.0,7.3,13.06,5.36,108.14,1.78,8.77,-1.68,-1.99,2017-02-28,,,2021-12-30,2022-09-29
