,Name,Ticker,Market Cap (B),Enterprise Value (B),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue,Enterprise Value/EBITDA,Beta (5Y Monthly),52 Week Change (%),S&P500 52-Week Change (%),52 Week High,52 Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol 3 month (M),Avg Vol 10 day (M),Shares Outstanding,Implied Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (M),Short Ratio (M),Short % of Float,Short % of Shares Outstanding,Shares Short,Forward Annual Dividend Rate,Forward Annual Dividend Yield (%),Trailing Annual Dividend Rate,Trailing Annual Dividend Yield (%),5 Year Average Dividend Yield,Payout Ratio (%),Last Split Factor (x:1),Profit Margin (%),Operating Margin (ttm) (%),Return on Assets (ttm) (%),Return on Equity (ttm) (%),Revenue (ttm) (B),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy) (%),Gross Profit (ttm) (B),EBITDA (B),Net Income Avi to Common (ttm) (B),Diluted EPS (ttm),Quarterly Earnings Growth (yoy) (%),Total Cash (mrq) (B),Total Cash Per Share (mrq),Total Debt (mrq) (B),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm) (B),Levered Free Cash Flow (ttm) (B),Dividend Date,Ex-Dividend Date,Last Split Date,Fiscal Year Ends,Most Recent Quarter (mrq)
0,"Tesla, Inc. ",TSLA,585.55,569.11,51.12,47.39,1.65,7.89,13.1,6.99,32.23,2.07,-45.0,-8.0,364.07,101.81,192.02,214.62,0.17,0.13,3.16,0.0,2.7,13.0,45.0,0.09,0.52,3.0,3.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,17.0,12.0,32.0,81.46,26.03,37.0,20.85,17.44,12.58,3.61,59.0,22.19,7.01,5.75,12.52,1.53,14.13,14.72,4.21,,,2022-08-24,2022-12-30,2022-12-30
1,"The Trade Desk, Inc. ",TTD,29.86,28.68,553.18,57.47,3.19,19.28,14.12,18.18,170.63,1.82,-8.0,-8.0,76.75,39.0,56.65,53.63,0.0,0.0,0.45,0.0,0.44,1.0,77.0,0.01,2.41,4.0,3.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,7.0,2.0,3.0,1.58,3.24,24.0,1.3,0.16,0.05,0.11,786.0,1.45,2.95,0.26,12.34,1.89,4.31,0.55,0.49,,,2021-06-16,2022-12-30,2022-12-30
2,NVIDIA Corporation ,NVDA,667.81,666.55,155.39,59.88,3.36,25.13,30.22,24.71,111.33,1.76,22.0,-8.0,280.0,108.13,239.81,176.11,0.05,0.04,2.47,2.47,2.37,4.0,68.0,0.04,0.76,2.0,2.0,0.03,0.16,0.0,0.16,0.0,0.19,9.0,4.0,16.0,21.0,8.0,18.0,26.97,10.85,-21.0,15.36,7.12,4.37,1.74,-53.0,13.3,5.38,12.03,54.44,3.52,8.96,5.64,4.53,2023-03-28,2023-03-06,2021-07-19,2023-01-28,2023-01-28
3,Alphabet Inc. ,GOOG,1370.0,1280.0,23.45,19.8,1.17,4.98,5.35,4.53,14.63,1.09,-19.0,-8.0,131.92,83.45,98.82,101.76,0.03,0.02,5.97,0.0,11.07,0.0,63.0,0.03,1.12,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,26.0,13.0,24.0,282.84,21.65,1.0,156.63,90.77,59.97,4.64,-34.0,113.76,8.88,29.98,11.7,2.38,19.93,91.49,52.53,,,2022-07-17,2022-12-30,2022-12-30
4,"CrowdStrike Holdings, Inc. ",CRWD,30.15,28.23,0.0,55.56,1.72,13.3,20.6,12.59,-692.6,1.02,-46.0,-8.0,242.0,92.25,122.89,145.87,0.01,0.0,0.22,0.0,0.22,3.0,73.0,0.01,1.18,3.0,3.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-8.0,-3.0,-14.0,2.24,9.61,48.0,1.64,-0.12,-0.18,-0.74,0.0,2.71,11.47,0.78,52.68,1.73,6.21,0.94,0.73,,,,2023-01-30,2023-01-30
5,"Amazon.com, Inc. ",AMZN,1050.0,1120.0,0.0,63.69,2.3,2.02,7.16,2.17,29.1,1.25,-36.0,-8.0,158.65,81.43,98.42,107.33,0.06,0.05,10.25,0.0,9.24,10.0,60.0,0.06,1.01,1.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,20.0,-1.0,2.0,2.0,-2.0,513.98,50.44,9.0,225.15,54.17,-2.72,-0.28,-98.0,70.03,6.83,169.94,116.36,0.94,14.26,46.75,0.01,,,2022-06-05,2022-12-30,2022-12-30
6,"IDEXX Laboratories, Inc. ",IDXX,39.21,40.56,58.84,54.35,5.32,11.87,64.41,12.05,40.09,1.18,-6.0,-8.0,517.91,317.06,483.13,411.46,0.0,0.0,0.08,0.0,0.08,1.0,93.0,0.0,4.13,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,27.0,22.0,105.0,3.37,40.27,3.0,2.0,1.01,0.68,8.11,6.0,0.11,1.36,1.47,241.49,0.89,7.34,0.54,0.33,,,2015-06-15,2022-12-30,2022-12-30
7,"MercadoLibre, Inc. ",MELI,62.57,64.95,130.64,88.5,2.18,6.07,34.25,6.16,43.19,1.59,13.0,-8.0,1329.49,600.68,1197.37,963.44,0.0,0.0,0.05,0.0,0.05,8.0,86.0,0.0,1.9,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,5.0,29.0,10.54,209.29,41.0,5.95,1.45,0.48,9.46,0.0,3.03,60.29,5.43,297.15,1.28,36.35,2.94,-0.23,2018-01-15,2017-12-27,,2022-12-30,2022-12-30
8,"Airbnb, Inc. ",ABNB,69.25,61.97,39.32,30.49,1.53,8.88,12.46,7.38,29.59,1.16,-34.0,-8.0,174.64,81.91,120.16,108.56,0.01,0.01,0.41,0.0,0.39,3.0,67.0,0.02,1.96,4.0,2.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,8.0,37.0,8.4,13.19,24.0,6.9,1.95,1.89,2.65,484.0,9.62,15.24,2.34,42.1,1.86,8.81,3.43,2.6,,,,2022-12-30,2022-12-30
9,"Zscaler, Inc. ",ZS,15.05,14.37,0.0,53.19,1.11,11.0,28.48,10.66,-62.49,0.88,-56.0,-8.0,243.5,98.71,120.89,139.51,0.0,0.0,0.15,0.0,0.09,40.0,49.0,0.01,2.18,8.0,5.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,-22.0,-7.0,-61.0,1.35,9.43,52.0,0.85,-0.27,-0.32,-2.09,0.0,1.91,13.13,1.22,230.0,2.01,3.64,0.4,0.49,,,,2022-07-30,2023-01-30
