Ticker,Market Cap (B),Revenue (ttm) (B),Profit Margin (%),52 Week Change (%),Cluster
Aflac Incorporated (AFL),44.82,20.930000000000003,24.000000000000007,24.0,0
"The Williams Companies, Inc. (WMB)",40.17,11.49,17.00000000000001,24.0,0
Arthur J. Gallagher & Co. (AJG),39.63,8.25,12.999999999999996,13.999999999999995,0
Biogen Inc. (BIIB),39.46,10.36,27.999999999999982,13.000000000000002,0
"L3Harris Technologies, Inc. (LHX)",38.95,16.83,6.999999999999996,-2.000000000000005,0
Cintas Corporation (CTAS),46.43,8.38,14.999999999999986,8.0,0
Monster Beverage Corporation (MNST),52.9,6.22,19.0,5.999999999999995,0
Sysco Corporation (SYY),39.02,71.31,1.9999999999999885,-2.9999999999999973,0
Xcel Energy Inc. (XEL),38.62,14.61,11.000000000000009,5.000000000000003,0
Packaging Corporation of America (PKG),11.75,8.54,12.000000000000004,-4.0,0
Snap-on Incorporated (SNA),12.24,4.79,19.0,8.0,0
PTC Inc. (PTC),14.31,1.9299999999999997,16.000000000000014,-2.000000000000005,0
"Ross Stores, Inc. (ROST)",39.9,18.5,7.99999999999999,2.000000000000005,0
The Allstate Corporation (ALL),36.18,50.78,0.0,14.999999999999998,0
Nordson Corporation (NDSN),13.51,2.59,19.999999999999993,-4.0,0
Nucor Corporation (NUE),34.26,43.15,19.999999999999993,18.000000000000004,0
PACCAR Inc (PCAR),34.52,27.379999999999995,8.999999999999984,10.999999999999998,0
"Consolidated Edison, Inc. (ED)",34.06,15.05,11.000000000000009,13.000000000000002,0
"Jack Henry & Associates, Inc. (JKHY)",12.81,1.98,19.0,2.9999999999999973,0
The Hershey Company (HSY),48.34,10.089999999999998,16.000000000000014,20.999999999999993,0
Cummins Inc. (CMI),34.03,26.15,6.999999999999996,10.000000000000005,0
"Ameriprise Financial, Inc. (AMP)",32.41,14.44,19.0,2.9999999999999973,0
The Kraft Heinz Company (KHC),49.83,25.81,5.000000000000007,13.000000000000002,0
TransDigm Group Incorporated (TDG),34.24,5.43,16.000000000000014,-2.000000000000005,0
"Everest Re Group, Ltd. (RE)",13.08,11.999999999999998,4.000000000000013,22.999999999999996,0
"Kinder Morgan, Inc. (KMI)",40.3,19.05,12.999999999999996,10.999999999999998,0
"AMETEK, Inc. (AME)",31.770000000000003,6.03,19.0,-2.000000000000005,0
Campbell Soup Company (CPB),16.99,8.9,8.999999999999984,29.999999999999996,0
Exelon Corporation (EXC),42.67,37.25,6.000000000000002,5.999999999999995,0
Molson Coors Beverage Company (TAP),11.22,10.69,5.000000000000007,9.000000000000002,0
"Waste Management, Inc. (WM)",65.47,19.44,12.000000000000004,-2.000000000000005,0
Emerson Electric Co. (EMR),55.47,19.63,16.000000000000014,5.000000000000003,0
Dollar General Corporation (DG),54.78,36.29,6.000000000000002,5.000000000000003,0
General Dynamics Corporation (GD),67.81,38.85,8.999999999999984,20.00000000000001,0
"Activision Blizzard, Inc. (ATVI)",60.07,7.36,23.00000000000001,13.999999999999995,0
Pioneer Natural Resources Company (PXD),54.44,24.79,29.000000000000014,20.999999999999993,0
"O'Reilly Automotive, Inc. (ORLY)",52.85,14.06,14.999999999999986,20.999999999999993,0
"HCA Healthcare, Inc. (HCA)",67.86,59.8,8.999999999999984,-5.000000000000003,0
"General Mills, Inc. (GIS)",49.75,19.37,14.999999999999986,25.000000000000004,0
"American Electric Power Company, Inc. (AEP)",49.34,18.82,12.999999999999996,8.0,0
"Corteva, Inc. (CTVA)",41.89,17.11,7.99999999999999,26.000000000000004,0
Sempra (SRE),49.14,14.83,16.000000000000014,18.000000000000004,0
"MetLife, Inc. (MET)",56.34,73.67,2.9999999999999827,14.999999999999998,0
"American International Group, Inc. (AIG)",46.73,59.38,23.00000000000001,10.999999999999998,0
"AutoZone, Inc. (AZO)",46.19,16.57,14.999999999999986,20.00000000000001,0
Centene Corporation (CNC),46.2,133.31,1.9999999999999885,-1.0000000000000024,0
Kimberly-Clark Corporation (KMB),46.07,20.179999999999996,8.999999999999984,-4.0,0
"Agilent Technologies, Inc. (A)",44.18,6.85,18.000000000000004,-2.9999999999999973,0
"The Travelers Companies, Inc. (TRV)",44.39,36.26,8.999999999999984,21.999999999999996,0
"Henry Schein, Inc. (HSIC)",10.77,12.61,5.000000000000007,4.0,0
NiSource Inc. (NI),11.19,5.550000000000001,12.999999999999996,1.0000000000000024,0
Loews Corporation (L),13.85,13.910000000000002,6.999999999999996,1.0000000000000024,0
"Motorola Solutions, Inc. (MSI)",42.44,8.73,12.999999999999996,-2.9999999999999973,0
Globe Life Inc. (GL),11.74,5.19,13.999999999999991,27.000000000000007,0
Aon plc (AON),62.26,12.43,22.000000000000018,2.9999999999999973,0
"CoStar Group, Inc. (CSGP)",31.59,2.12,16.000000000000014,-1.0000000000000024,0
"Cboe Global Markets, Inc. (CBOE)",13.41,3.8200000000000003,6.000000000000002,-1.0000000000000024,0
PPL Corporation (PPL),21.68,7.1,10.000000000000014,-2.000000000000005,0
Las Vegas Sands Corp. (LVS),35.29,4.0,47.000000000000014,20.999999999999993,0
"SolarEdge Technologies, Inc. (SEDG)",15.42,2.77,4.000000000000013,-1.0000000000000024,0
"Raymond James Financial, Inc. (RJF)",23.220000000000002,10.8,13.999999999999991,5.000000000000003,0
FMC Corporation (FMC),15.7,5.59,12.000000000000004,13.000000000000002,0
Atmos Energy Corporation (ATO),15.8,4.200000000000001,18.000000000000004,9.000000000000002,0
Hewlett Packard Enterprise Company (HPE),20.360000000000003,28.5,2.9999999999999827,-1.0000000000000024,0
"Quanta Services, Inc. (PWR)",20.190000000000005,16.58,2.9999999999999827,27.000000000000007,0
Xylem Inc. (XYL),19.63,5.34,6.000000000000002,-4.0,0
"Principal Financial Group, Inc. (PFG)",20.530000000000005,18.46,29.000000000000014,17.000000000000004,0
Coterra Energy Inc. (CTRA),20.17,9.3,43.00000000000001,25.000000000000004,0
DTE Energy Company (DTE),22.9,19.4,6.000000000000002,0.0,0
"Molina Healthcare, Inc. (MOH)",19.53,30.3,2.9999999999999827,5.000000000000003,0
"CenterPoint Energy, Inc. (CNP)",18.880000000000003,8.92,18.000000000000004,10.000000000000005,0
The AES Corporation (AES),18.92,12.33,-1.9999999999999885,18.000000000000004,0
Omnicom Group Inc. (OMC),16.63,14.28,8.999999999999984,10.000000000000005,0
CMS Energy Corporation (CMS),18.38,8.35,16.000000000000014,-1.0000000000000024,0
The J. M. Smucker Company (SJM),17.0,8.17,6.999999999999996,16.0,0
"Conagra Brands, Inc. (CAG)",18.58,11.79,5.000000000000007,13.999999999999995,0
"CF Industries Holdings, Inc. (CF)",16.78,11.12,29.000000000000014,20.999999999999993,0
Kellogg Company (K),24.480000000000004,14.9,10.000000000000014,10.000000000000005,0
Quest Diagnostics Incorporated (DGX),17.86,10.29,12.000000000000004,-5.000000000000003,0
Westinghouse Air Brake Technologies Corporation (WAB),18.15,8.13,7.99999999999999,9.000000000000002,0
Amcor plc (AMCR),17.9,14.84,6.000000000000002,1.0000000000000024,0
"Hologic, Inc. (HOLX)",18.62,4.86,26.99999999999999,4.0,0
VICI Properties Inc. (VICI),31.51,2.25,35.000000000000014,8.0,0
FirstEnergy Corp. (FE),24.160000000000004,11.75,11.000000000000009,2.000000000000005,0
Entergy Corporation (ETR),24.070000000000004,13.21,10.000000000000014,2.000000000000005,0
Keurig Dr Pepper Inc. (KDP),51.13,13.64,12.999999999999996,-2.000000000000005,0
"WEC Energy Group, Inc. (WEC)",29.99,9.24,14.999999999999986,-1.0000000000000024,0
"Dollar Tree, Inc. (DLTR)",31.310000000000002,27.69,6.000000000000002,1.0000000000000024,0
"ONEOK, Inc. (OKE)",28.83,22.78,6.999999999999996,10.000000000000005,0
Baker Hughes Company (BKR),28.59,20.74,-1.9999999999999885,17.000000000000004,0
Eversource Energy (ES),29.6,11.74,12.000000000000004,-5.000000000000003,0
The Kroger Co. (KR),31.910000000000004,146.48,1.9999999999999885,-1.0000000000000024,0
"Leidos Holdings, Inc. (LDOS)",14.23,14.19,5.000000000000007,16.0,0
Willis Towers Watson Public Limited Company (WTW),26.170000000000005,8.85,31.999999999999996,4.0,0
"Zimmer Biomet Holdings, Inc. (ZBH)",26.76,7.9,4.000000000000013,2.000000000000005,0
"Gartner, Inc. (IT)",26.560000000000006,5.28,13.999999999999991,5.999999999999995,0
The Mosaic Company (MOS),14.79,18.48,19.999999999999993,8.0,0
"Republic Services, Inc. (RSG)",40.89,12.93,11.000000000000009,-2.9999999999999973,0
Howmet Aerospace Inc. (HWM),16.02,5.43,7.99999999999999,21.999999999999996,0
"W.W. Grainger, Inc. (GWW)",28.15,14.79,10.000000000000014,10.000000000000005,0
Tractor Supply Company (TSCO),25.07,13.52,7.99999999999999,-4.0,0
"United Rentals, Inc. (URI)",24.86,11.12,18.000000000000004,8.0,0
Genuine Parts Company (GPC),24.73,21.38,6.000000000000002,27.000000000000007,0
"The Hartford Financial Services Group, Inc. (HIG)",24.37,22.13,8.999999999999984,10.000000000000005,0
Edison International (EIX),24.83,16.54,4.000000000000013,-5.000000000000003,0
Incyte Corporation (INCY),17.68,3.3300000000000005,25.999999999999993,6.999999999999997,0
"Diamondback Energy, Inc. (FANG)",24.79,9.13,48.000000000000014,21.999999999999996,0
"Ulta Beauty, Inc. (ULTA)",23.58,9.71,12.000000000000004,12.0,0
