,Name,Ticker,Market Cap (B),Enterprise Value (B),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue,Enterprise Value/EBITDA,Beta (5Y Monthly),52 Week Change (%),S&P500 52-Week Change (%),52 Week High,52 Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol 3 month (M),Avg Vol 10 day (M),Shares Outstanding,Implied Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (M),Short Ratio (M),Short % of Float,Short % of Shares Outstanding,Shares Short,Forward Annual Dividend Rate,Forward Annual Dividend Yield (%),Trailing Annual Dividend Rate,Trailing Annual Dividend Yield (%),5 Year Average Dividend Yield,Payout Ratio (%),Last Split Factor (x:1),Profit Margin (%),Operating Margin (ttm) (%),Return on Assets (ttm) (%),Return on Equity (ttm) (%),Revenue (ttm) (B),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy) (%),Gross Profit (ttm) (B),EBITDA (B),Net Income Avi to Common (ttm) (B),Diluted EPS (ttm),Quarterly Earnings Growth (yoy) (%),Total Cash (mrq) (B),Total Cash Per Share (mrq),Total Debt (mrq) (B),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm) (B),Levered Free Cash Flow (ttm) (B),Dividend Date,Ex-Dividend Date,Last Split Date,Fiscal Year Ends,Most Recent Quarter (mrq)
0,Apple Inc. ,AAPL,2540.0,2600.0,27.3,27.17,2.72,6.72,44.85,6.72,20.34,1.3,-3.0,-7.0,176.15,124.17,154.4,149.47,0.07,0.05,15.82,0.0,15.81,0.0,61.0,0.11,1.7,1.0,1.0,0.11,0.92,1.0,0.91,1.0,0.94,15.0,4.0,25.0,29.0,20.0,148.0,387.54,24.08,-6.0,170.78,125.29,95.17,5.89,-13.0,51.36,3.25,111.11,195.87,0.94,3.58,109.19,84.73,2023-02-15,2023-02-09,2020-08-30,2022-09-23,2022-12-30
1,Microsoft Corporation ,MSFT,2110.0,2070.0,31.43,26.11,2.13,10.39,11.5,10.12,20.92,0.92,1.0,-7.0,294.18,213.43,266.46,254.39,0.03,0.03,7.44,0.0,7.44,0.0,74.0,0.04,1.28,1.0,1.0,0.03,2.72,1.0,2.6,1.0,1.12,28.0,2.0,33.0,41.0,15.0,39.0,204.09,27.33,2.0,135.62,97.95,67.45,8.99,-12.0,99.5,13.37,77.98,42.58,1.93,24.59,84.39,44.61,2023-06-07,2023-05-16,2003-02-17,2022-06-29,2022-12-30
2,"Amazon.com, Inc. ",AMZN,1050.0,1120.0,0.0,63.69,2.3,2.02,7.16,2.17,29.1,1.25,-36.0,-8.0,158.65,81.43,98.42,107.33,0.06,0.05,10.25,0.0,9.24,10.0,60.0,0.06,1.01,1.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,20.0,-1.0,2.0,2.0,-2.0,513.98,50.44,9.0,225.15,54.17,-2.72,-0.28,-98.0,70.03,6.83,169.94,116.36,0.94,14.26,46.75,0.01,,,2022-06-05,2022-12-30,2022-12-30
3,NVIDIA Corporation ,NVDA,667.81,666.55,155.39,59.88,3.36,25.13,30.22,24.71,111.33,1.76,22.0,-8.0,280.0,108.13,239.81,176.11,0.05,0.04,2.47,2.47,2.37,4.0,68.0,0.04,0.76,2.0,2.0,0.03,0.16,0.0,0.16,0.0,0.19,9.0,4.0,16.0,21.0,8.0,18.0,26.97,10.85,-21.0,15.36,7.12,4.37,1.74,-53.0,13.3,5.38,12.03,54.44,3.52,8.96,5.64,4.53,2023-03-28,2023-03-06,2021-07-19,2023-01-28,2023-01-28
4,Alphabet Inc. ,GOOGL,1350.0,1270.0,23.1,19.49,1.15,4.9,5.27,4.49,14.49,1.09,-17.0,-7.0,131.4,83.34,98.49,101.1,0.04,0.03,5.96,0.0,11.07,0.0,79.0,0.04,1.12,1.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,26.0,13.0,24.0,282.84,21.65,1.0,156.63,90.77,59.97,4.53,-34.0,113.76,8.88,29.98,11.7,2.38,19.93,91.49,52.53,,,2022-07-17,2022-12-30,2022-12-30
5,Berkshire Hathaway Inc. ,BRK-B,691.03,784.78,0.0,21.32,0.0,2.95,1.45,3.09,0.0,0.88,-9.0,-7.0,350.86,259.85,306.92,296.55,0.0,0.0,1.3,0.0,0.0,0.0,66.0,0.01,1.41,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,50.0,-8.0,-9.0,-2.0,-4.0,302.09,205659.97,9.0,-28.09,-17.19,-22.82,-10.38,-54.0,128.58,88178.27,127.68,26.57,3.26,323497.25,37.22,-34.13,,,2010-01-20,2022-12-30,2022-12-30
6,Alphabet Inc. ,GOOG,1370.0,1280.0,23.45,19.8,1.17,4.98,5.35,4.53,14.63,1.09,-19.0,-8.0,131.92,83.45,98.82,101.76,0.03,0.02,5.97,0.0,11.07,0.0,63.0,0.03,1.12,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,26.0,13.0,24.0,282.84,21.65,1.0,156.63,90.77,59.97,4.64,-34.0,113.76,8.88,29.98,11.7,2.38,19.93,91.49,52.53,,,2022-07-17,2022-12-30,2022-12-30
7,UnitedHealth Group Incorporated ,UNH,485.99,515.7,24.6,20.92,1.66,1.54,6.25,1.6,16.2,0.69,-3.0,-7.0,558.1,449.7,483.24,512.77,0.0,0.0,0.93,0.0,0.93,0.0,90.0,0.01,1.58,1.0,1.0,0.0,6.6,1.0,6.4,1.0,1.35,30.0,2.0,6.0,9.0,8.0,25.0,324.16,345.96,12.0,79.62,30.83,20.12,21.16,17.0,27.91,29.92,62.45,72.33,0.73,83.27,26.21,22.76,2023-03-20,2023-03-09,2005-05-30,2022-12-30,2022-12-30
8,"Tesla, Inc. ",TSLA,585.55,569.11,51.12,47.39,1.65,7.89,13.1,6.99,32.23,2.07,-45.0,-8.0,364.07,101.81,192.02,214.62,0.17,0.13,3.16,0.0,2.7,13.0,45.0,0.09,0.52,3.0,3.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,17.0,12.0,32.0,81.46,26.03,37.0,20.85,17.44,12.58,3.61,59.0,22.19,7.01,5.75,12.52,1.53,14.13,14.72,4.21,,,2022-08-24,2022-12-30,2022-12-30
9,"Meta Platforms, Inc. ",META,554.44,540.29,24.9,21.64,3.0,4.96,4.41,4.63,14.36,1.18,2.0,-7.0,224.3,88.09,189.21,152.42,0.03,0.02,2.23,0.0,2.21,0.0,76.0,0.03,0.94,1.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.0,12.0,19.0,116.61,43.4,-4.0,92.86,42.24,23.2,8.6,-55.0,40.74,15.71,27.28,21.7,2.2,48.09,50.47,15.6,,,,2022-12-30,2022-12-30
